epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.338,0.63928,0.33035,0.90513,0.93398,0.99204,0.99113,0.84382,0.62664,0.31975,0.874,0.000300788,0.000300788,0.000300788
2,34.3057,0.64147,0.33738,0.90257,0.76709,0.99528,0.99127,0.80516,0.64837,0.32981,0.87534,0.000603193,0.000603193,0.000603193
3,51.266,0.65288,0.3474,0.9051,0.94455,0.76947,0.89137,0.74941,0.66968,0.34114,0.88422,0.000903214,0.000903214,0.000903214
4,68.215,0.66192,0.35329,0.90787,0.73159,0.96922,0.891,0.74986,0.68392,0.34596,0.88942,0.00090095,0.00090095,0.00090095
5,85.1951,0.65727,0.34913,0.90555,0.74901,0.97927,0.89128,0.73769,0.69596,0.33637,0.89249,0.000894722,0.000894722,0.000894722
6,102.082,0.65087,0.34525,0.90234,0.7344,0.97231,0.89159,0.7394,0.67007,0.34056,0.88156,0.000886757,0.000886757,0.000886757
7,119.002,0.64412,0.34433,0.90045,0.77731,0.78734,0.83161,0.7038,0.67477,0.34068,0.88958,0.000877087,0.000877087,0.000877087
8,135.942,0.64125,0.34146,0.89855,0.75264,0.97378,0.89153,0.72215,0.67214,0.33272,0.88586,0.000865748,0.000865748,0.000865748
9,152.913,0.63747,0.33932,0.89806,0.80098,0.99564,0.85875,0.70007,0.67518,0.32947,0.88517,0.000852787,0.000852787,0.000852787
10,169.794,0.63242,0.33551,0.89635,0.9782,0.78335,0.8207,0.71244,0.6778,0.33029,0.888,0.000838254,0.000838254,0.000838254
11,186.687,0.63017,0.33475,0.89478,0.76346,0.98094,0.89142,0.72243,0.66945,0.32746,0.88776,0.000822207,0.000822207,0.000822207
12,203.64,0.62051,0.33005,0.8929,0.78278,0.98364,0.8921,0.72645,0.6654,0.31778,0.88545,0.000804709,0.000804709,0.000804709
13,220.615,0.61867,0.32599,0.8922,0.8493,0.98267,0.8916,0.71037,0.66969,0.31602,0.88829,0.000785829,0.000785829,0.000785829
14,237.493,0.61686,0.32488,0.89207,0.78634,0.91659,0.85824,0.71162,0.66923,0.3235,0.88736,0.000765641,0.000765641,0.000765641
15,254.434,0.61606,0.32481,0.89041,0.84867,0.98114,0.89164,0.71189,0.67441,0.32482,0.89125,0.000744226,0.000744226,0.000744226
16,271.412,0.60691,0.32057,0.88979,0.78055,0.78661,0.79218,0.68008,0.66274,0.31495,0.88433,0.000721667,0.000721667,0.000721667
17,288.452,0.60118,0.31781,0.88665,0.72024,0.99569,0.85793,0.70086,0.65655,0.3197,0.88559,0.000698054,0.000698054,0.000698054
18,305.388,0.59978,0.3157,0.88651,0.77948,0.78399,0.7918,0.70539,0.66562,0.31774,0.88952,0.000673481,0.000673481,0.000673481
19,322.324,0.59777,0.31567,0.88484,0.96947,0.7686,0.79226,0.68328,0.66977,0.31499,0.88637,0.000648043,0.000648043,0.000648043
20,339.275,0.59441,0.31352,0.88425,0.96568,0.76617,0.85835,0.70911,0.66789,0.31615,0.88954,0.000621841,0.000621841,0.000621841
21,356.225,0.58804,0.31073,0.88251,0.95916,0.77286,0.79235,0.68463,0.66213,0.31559,0.88636,0.00059498,0.00059498,0.00059498
